company,score,towns_cities,counties,routes,tags,linkedin_company_search_url,linkedin_jobs_search_url,linkedin_recruiter_search_url,linkedin_hiring_manager_search_url,outreach_reason,connection_note
Kainos Software Ltd,84,['Belfast'],['Antrim Wor'],['Skilled Worker'],"['ai', 'software', 'tech']",https://www.linkedin.com/search/results/companies/?keywords=Kainos+Software+Ltd,https://www.linkedin.com/jobs/search/?keywords=Kainos+Software+Ltd+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,https://www.linkedin.com/search/results/people/?keywords=Kainos+Software+Ltd+Technical+Recruiter+OR+Engineering+Recruiter+OR+Talent+Acquisition+OR+Internal+Recruiter,https://www.linkedin.com/search/results/people/?keywords=Kainos+Software+Ltd+Engineering+Manager+OR+Head+of+Engineering+OR+Head+of+AI+OR+CTO,The company name suggests a technology or product-oriented business. It is already licensed for the Skilled Worker route. It has a listed presence in Belfast.,"Hi, I noticed Kainos Software Ltd is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at Kainos Software Ltd."
Magnetic Systems Technology Limited,84,['Rotherham'],['Worker'],['Skilled Worker'],"['systems', 'tech', 'technology']",https://www.linkedin.com/search/results/companies/?keywords=Magnetic+Systems+Technology+Limited,https://www.linkedin.com/jobs/search/?keywords=Magnetic+Systems+Technology+Limited+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,https://www.linkedin.com/search/results/people/?keywords=Magnetic+Systems+Technology+Limited+Technical+Recruiter+OR+Engineering+Recruiter+OR+Talent+Acquisition+OR+Internal+Recruiter,https://www.linkedin.com/search/results/people/?keywords=Magnetic+Systems+Technology+Limited+Engineering+Manager+OR+Head+of+Engineering+OR+Head+of+AI+OR+CTO,The company name suggests a technology or product-oriented business. It is already licensed for the Skilled Worker route. It has a listed presence in Rotherham.,"Hi, I noticed Magnetic Systems Technology Limited is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at Magnetic Systems Technology Limited."
Marine Systems Technology Ltd,84,['Winsford'],['Cheshire Wo'],"['Skilled Worker', 'lobal Business Mobility: Senior or Specialist Worker']","['systems', 'tech', 'technology']",https://www.linkedin.com/search/results/companies/?keywords=Marine+Systems+Technology+Ltd,https://www.linkedin.com/jobs/search/?keywords=Marine+Systems+Technology+Ltd+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,https://www.linkedin.com/search/results/people/?keywords=Marine+Systems+Technology+Ltd+Technical+Recruiter+OR+Engineering+Recruiter+OR+Talent+Acquisition+OR+Internal+Recruiter,https://www.linkedin.com/search/results/people/?keywords=Marine+Systems+Technology+Ltd+Engineering+Manager+OR+Head+of+Engineering+OR+Head+of+AI+OR+CTO,The company name suggests a technology or product-oriented business. It is already licensed for the Skilled Worker route. It has a listed presence in Winsford.,"Hi, I noticed Marine Systems Technology Ltd is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at Marine Systems Technology Ltd."
Matfron Automation Technology Limited London,84,[],['Worker (A ratin'],"['Skilled Worker', 'UK Expansion Worker']","['tech', 'technology']",https://www.linkedin.com/search/results/companies/?keywords=Matfron+Automation+Technology+Limited+London,https://www.linkedin.com/jobs/search/?keywords=Matfron+Automation+Technology+Limited+London+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,https://www.linkedin.com/search/results/people/?keywords=Matfron+Automation+Technology+Limited+London+Technical+Recruiter+OR+Engineering+Recruiter+OR+Talent+Acquisition+OR+Internal+Recruiter,https://www.linkedin.com/search/results/people/?keywords=Matfron+Automation+Technology+Limited+London+Engineering+Manager+OR+Head+of+Engineering+OR+Head+of+AI+OR+CTO,The company name suggests a technology or product-oriented business. It is already licensed for the Skilled Worker route.,"Hi, I noticed Matfron Automation Technology Limited London is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at Matfron Automation Technology Lim"
Playtech Software Limited,84,['London'],[],['Skilled Worker'],"['software', 'tech']",https://www.linkedin.com/search/results/companies/?keywords=Playtech+Software+Limited,https://www.linkedin.com/jobs/search/?keywords=Playtech+Software+Limited+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,https://www.linkedin.com/search/results/people/?keywords=Playtech+Software+Limited+Technical+Recruiter+OR+Engineering+Recruiter+OR+Talent+Acquisition+OR+Internal+Recruiter,https://www.linkedin.com/search/results/people/?keywords=Playtech+Software+Limited+Engineering+Manager+OR+Head+of+Engineering+OR+Head+of+AI+OR+CTO,The company name suggests a technology or product-oriented business. It is already licensed for the Skilled Worker route. It has a listed presence in London.,"Hi, I noticed Playtech Software Limited is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at Playtech Software Limited."
Polymer Systems Technology Ltd HIGH,84,['WYCOMBE Bucking'],['hamshire Work'],['Skilled Worker'],"['systems', 'tech', 'technology']",https://www.linkedin.com/search/results/companies/?keywords=Polymer+Systems+Technology+Ltd+HIGH,https://www.linkedin.com/jobs/search/?keywords=Polymer+Systems+Technology+Ltd+HIGH+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,https://www.linkedin.com/search/results/people/?keywords=Polymer+Systems+Technology+Ltd+HIGH+Technical+Recruiter+OR+Engineering+Recruiter+OR+Talent+Acquisition+OR+Internal+Recruiter,https://www.linkedin.com/search/results/people/?keywords=Polymer+Systems+Technology+Ltd+HIGH+Engineering+Manager+OR+Head+of+Engineering+OR+Head+of+AI+OR+CTO,The company name suggests a technology or product-oriented business. It is already licensed for the Skilled Worker route. It has a listed presence in WYCOMBE Bucking.,"Hi, I noticed Polymer Systems Technology Ltd HIGH is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at Polymer Systems Technology Ltd HIGH."
PSK Metonym Systems Ltd Rainham,84,['London'],['Worker (A rating)'],['Skilled Worker'],"['ai', 'systems', 'tech']",https://www.linkedin.com/search/results/companies/?keywords=PSK+Metonym+Systems+Ltd+Rainham,https://www.linkedin.com/jobs/search/?keywords=PSK+Metonym+Systems+Ltd+Rainham+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,https://www.linkedin.com/search/results/people/?keywords=PSK+Metonym+Systems+Ltd+Rainham+Technical+Recruiter+OR+Engineering+Recruiter+OR+Talent+Acquisition+OR+Internal+Recruiter,https://www.linkedin.com/search/results/people/?keywords=PSK+Metonym+Systems+Ltd+Rainham+Engineering+Manager+OR+Head+of+Engineering+OR+Head+of+AI+OR+CTO,The company name suggests a technology or product-oriented business. It is already licensed for the Skilled Worker route. It has a listed presence in London.,"Hi, I noticed PSK Metonym Systems Ltd Rainham is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at PSK Metonym Systems Ltd Rainham."
CLOUD RETAIL LTD,83,['London'],['Worker'],['Skilled Worker'],"['ai', 'cloud', 'tech']",https://www.linkedin.com/search/results/companies/?keywords=CLOUD+RETAIL+LTD,https://www.linkedin.com/jobs/search/?keywords=CLOUD+RETAIL+LTD+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,https://www.linkedin.com/search/results/people/?keywords=CLOUD+RETAIL+LTD+Technical+Recruiter+OR+Engineering+Recruiter+OR+Talent+Acquisition+OR+Internal+Recruiter,https://www.linkedin.com/search/results/people/?keywords=CLOUD+RETAIL+LTD+Engineering+Manager+OR+Head+of+Engineering+OR+Head+of+AI+OR+CTO,The company name suggests a technology or product-oriented business. It is already licensed for the Skilled Worker route. It has a listed presence in London.,"Hi, I noticed CLOUD RETAIL LTD is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at CLOUD RETAIL LTD."
Methods Business and Digital Technology London,83,['Greater Lo'],['ndon Worker (A ratin'],['Skilled Worker'],"['digital', 'tech', 'technology']",https://www.linkedin.com/search/results/companies/?keywords=Methods+Business+and+Digital+Technology+London,https://www.linkedin.com/jobs/search/?keywords=Methods+Business+and+Digital+Technology+London+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,https://www.linkedin.com/search/results/people/?keywords=Methods+Business+and+Digital+Technology+London+Technical+Recruiter+OR+Engineering+Recruiter+OR+Talent+Acquisition+OR+Internal+Recruiter,https://www.linkedin.com/search/results/people/?keywords=Methods+Business+and+Digital+Technology+London+Engineering+Manager+OR+Head+of+Engineering+OR+Head+of+AI+OR+CTO,The company name suggests a technology or product-oriented business. It is already licensed for the Skilled Worker route. It has a listed presence in Greater Lo.,"Hi, I noticed Methods Business and Digital Technology London is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at Methods Business and Digital Te"
Smartech Retail Group Limited,83,['London'],[],"['Skilled Worker', 'lobal Business Mobility: Senior or Specialist Worker']","['ai', 'tech']",https://www.linkedin.com/search/results/companies/?keywords=Smartech+Retail+Group+Limited,https://www.linkedin.com/jobs/search/?keywords=Smartech+Retail+Group+Limited+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,https://www.linkedin.com/search/results/people/?keywords=Smartech+Retail+Group+Limited+Technical+Recruiter+OR+Engineering+Recruiter+OR+Talent+Acquisition+OR+Internal+Recruiter,https://www.linkedin.com/search/results/people/?keywords=Smartech+Retail+Group+Limited+Engineering+Manager+OR+Head+of+Engineering+OR+Head+of+AI+OR+CTO,The company name suggests a technology or product-oriented business. It is already licensed for the Skilled Worker route. It has a listed presence in London.,"Hi, I noticed Smartech Retail Group Limited is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at Smartech Retail Group Limited."
Spine Technologies (Retail) Limited,83,['London'],['Work'],['Skilled Worker'],"['ai', 'tech']",https://www.linkedin.com/search/results/companies/?keywords=Spine+Technologies+%28Retail%29+Limited,https://www.linkedin.com/jobs/search/?keywords=Spine+Technologies+%28Retail%29+Limited+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,https://www.linkedin.com/search/results/people/?keywords=Spine+Technologies+%28Retail%29+Limited+Technical+Recruiter+OR+Engineering+Recruiter+OR+Talent+Acquisition+OR+Internal+Recruiter,https://www.linkedin.com/search/results/people/?keywords=Spine+Technologies+%28Retail%29+Limited+Engineering+Manager+OR+Head+of+Engineering+OR+Head+of+AI+OR+CTO,The company name suggests a technology or product-oriented business. It is already licensed for the Skilled Worker route. It has a listed presence in London.,"Hi, I noticed Spine Technologies (Retail) Limited is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at Spine Technologies (Retail) Limited."
The Digital Fairy Ltd,83,['London'],[],['Skilled Worker'],"['ai', 'digital', 'tech']",https://www.linkedin.com/search/results/companies/?keywords=The+Digital+Fairy+Ltd,https://www.linkedin.com/jobs/search/?keywords=The+Digital+Fairy+Ltd+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,https://www.linkedin.com/search/results/people/?keywords=The+Digital+Fairy+Ltd+Technical+Recruiter+OR+Engineering+Recruiter+OR+Talent+Acquisition+OR+Internal+Recruiter,https://www.linkedin.com/search/results/people/?keywords=The+Digital+Fairy+Ltd+Engineering+Manager+OR+Head+of+Engineering+OR+Head+of+AI+OR+CTO,The company name suggests a technology or product-oriented business. It is already licensed for the Skilled Worker route. It has a listed presence in London.,"Hi, I noticed The Digital Fairy Ltd is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at The Digital Fairy Ltd."
Vighnaharta Technology Solutions Ltd,83,['Edinburgh'],[],['Skilled Worker'],"['services', 'tech', 'technology']",https://www.linkedin.com/search/results/companies/?keywords=Vighnaharta+Technology+Solutions+Ltd,https://www.linkedin.com/jobs/search/?keywords=Vighnaharta+Technology+Solutions+Ltd+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,https://www.linkedin.com/search/results/people/?keywords=Vighnaharta+Technology+Solutions+Ltd+Technical+Recruiter+OR+Engineering+Recruiter+OR+Talent+Acquisition+OR+Internal+Recruiter,https://www.linkedin.com/search/results/people/?keywords=Vighnaharta+Technology+Solutions+Ltd+Engineering+Manager+OR+Head+of+Engineering+OR+Head+of+AI+OR+CTO,The company name suggests a technology or product-oriented business. It is already licensed for the Skilled Worker route. It has a listed presence in Edinburgh.,"Hi, I noticed Vighnaharta Technology Solutions Ltd is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at Vighnaharta Technology Solutions Ltd."
10X Banking Technology Services Ltd,82,['London'],[],['Skilled Worker'],"['finance', 'services', 'tech', 'technology']",https://www.linkedin.com/search/results/companies/?keywords=10X+Banking+Technology+Services+Ltd,https://www.linkedin.com/jobs/search/?keywords=10X+Banking+Technology+Services+Ltd+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,https://www.linkedin.com/search/results/people/?keywords=10X+Banking+Technology+Services+Ltd+Technical+Recruiter+OR+Engineering+Recruiter+OR+Talent+Acquisition+OR+Internal+Recruiter,https://www.linkedin.com/search/results/people/?keywords=10X+Banking+Technology+Services+Ltd+Engineering+Manager+OR+Head+of+Engineering+OR+Head+of+AI+OR+CTO,The company name suggests a technology or product-oriented business. It is already licensed for the Skilled Worker route. It has a listed presence in London.,"Hi, I noticed 10X Banking Technology Services Ltd is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at 10X Banking Technology Services Ltd."
Advanced Technology Services UK Limited,82,['London'],[],['Skilled Worker'],"['services', 'tech', 'technology']",https://www.linkedin.com/search/results/companies/?keywords=Advanced+Technology+Services+UK+Limited,https://www.linkedin.com/jobs/search/?keywords=Advanced+Technology+Services+UK+Limited+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,https://www.linkedin.com/search/results/people/?keywords=Advanced+Technology+Services+UK+Limited+Technical+Recruiter+OR+Engineering+Recruiter+OR+Talent+Acquisition+OR+Internal+Recruiter,https://www.linkedin.com/search/results/people/?keywords=Advanced+Technology+Services+UK+Limited+Engineering+Manager+OR+Head+of+Engineering+OR+Head+of+AI+OR+CTO,The company name suggests a technology or product-oriented business. It is already licensed for the Skilled Worker route. It has a listed presence in London.,"Hi, I noticed Advanced Technology Services UK Limited is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at Advanced Technology Services UK Limite"
BIG DATA SCIENCE & TECHNOLOGY LIMITED,82,['Feltham'],['England Work'],['ker'],"['data', 'tech', 'technology']",https://www.linkedin.com/search/results/companies/?keywords=BIG+DATA+SCIENCE+%26+TECHNOLOGY+LIMITED,https://www.linkedin.com/jobs/search/?keywords=BIG+DATA+SCIENCE+%26+TECHNOLOGY+LIMITED+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,https://www.linkedin.com/search/results/people/?keywords=BIG+DATA+SCIENCE+%26+TECHNOLOGY+LIMITED+Technical+Recruiter+OR+Engineering+Recruiter+OR+Talent+Acquisition+OR+Internal+Recruiter,https://www.linkedin.com/search/results/people/?keywords=BIG+DATA+SCIENCE+%26+TECHNOLOGY+LIMITED+Engineering+Manager+OR+Head+of+Engineering+OR+Head+of+AI+OR+CTO,The company name suggests a technology or product-oriented business. It has a listed presence in Feltham.,"Hi, I noticed BIG DATA SCIENCE & TECHNOLOGY LIMITED is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at BIG DATA SCIENCE & TECHNOLOGY LIMITED."
Brain Analytics,82,['London'],[],['Skilled Worker'],"['ai', 'tech']",https://www.linkedin.com/search/results/companies/?keywords=Brain+Analytics,https://www.linkedin.com/jobs/search/?keywords=Brain+Analytics+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,https://www.linkedin.com/search/results/people/?keywords=Brain+Analytics+Technical+Recruiter+OR+Engineering+Recruiter+OR+Talent+Acquisition+OR+Internal+Recruiter,https://www.linkedin.com/search/results/people/?keywords=Brain+Analytics+Engineering+Manager+OR+Head+of+Engineering+OR+Head+of+AI+OR+CTO,The company name suggests a technology or product-oriented business. It is already licensed for the Skilled Worker route. It has a listed presence in London.,"Hi, I noticed Brain Analytics is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at Brain Analytics."
Colt Technology Services Group Limited,82,['London'],['Wor'],"['Skilled Worker', 'obal Business Mobility: Senior or Specialist Worker']","['services', 'tech', 'technology']",https://www.linkedin.com/search/results/companies/?keywords=Colt+Technology+Services+Group+Limited,https://www.linkedin.com/jobs/search/?keywords=Colt+Technology+Services+Group+Limited+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,https://www.linkedin.com/search/results/people/?keywords=Colt+Technology+Services+Group+Limited+Technical+Recruiter+OR+Engineering+Recruiter+OR+Talent+Acquisition+OR+Internal+Recruiter,https://www.linkedin.com/search/results/people/?keywords=Colt+Technology+Services+Group+Limited+Engineering+Manager+OR+Head+of+Engineering+OR+Head+of+AI+OR+CTO,The company name suggests a technology or product-oriented business. It is already licensed for the Skilled Worker route. It has a listed presence in London.,"Hi, I noticed Colt Technology Services Group Limited is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at Colt Technology Services Group Limited."
Future Intelligence Technology Solutions Limited,82,['Reading'],['Berkshire Wo'],['Skilled Worker'],"['services', 'tech', 'technology']",https://www.linkedin.com/search/results/companies/?keywords=Future+Intelligence+Technology+Solutions+Limited,https://www.linkedin.com/jobs/search/?keywords=Future+Intelligence+Technology+Solutions+Limited+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,https://www.linkedin.com/search/results/people/?keywords=Future+Intelligence+Technology+Solutions+Limited+Technical+Recruiter+OR+Engineering+Recruiter+OR+Talent+Acquisition+OR+Internal+Recruiter,https://www.linkedin.com/search/results/people/?keywords=Future+Intelligence+Technology+Solutions+Limited+Engineering+Manager+OR+Head+of+Engineering+OR+Head+of+AI+OR+CTO,The company name suggests a technology or product-oriented business. It is already licensed for the Skilled Worker route. It has a listed presence in Reading.,"Hi, I noticed Future Intelligence Technology Solutions Limited is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at Future Intelligence Technolog"
Gen AI ML Ltd,82,['London'],['Worker'],['Skilled Worker'],"['ai', 'tech']",https://www.linkedin.com/search/results/companies/?keywords=Gen+AI+ML+Ltd,https://www.linkedin.com/jobs/search/?keywords=Gen+AI+ML+Ltd+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,https://www.linkedin.com/search/results/people/?keywords=Gen+AI+ML+Ltd+Technical+Recruiter+OR+Engineering+Recruiter+OR+Talent+Acquisition+OR+Internal+Recruiter,https://www.linkedin.com/search/results/people/?keywords=Gen+AI+ML+Ltd+Engineering+Manager+OR+Head+of+Engineering+OR+Head+of+AI+OR+CTO,The company name suggests a technology or product-oriented business. It is already licensed for the Skilled Worker route. It has a listed presence in London.,"Hi, I noticed Gen AI ML Ltd is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at Gen AI ML Ltd."
JAI TECHNOLOGIES LTD,82,['READING'],['BERKSHIRE'],['Skilled Worker'],"['ai', 'tech']",https://www.linkedin.com/search/results/companies/?keywords=JAI+TECHNOLOGIES+LTD,https://www.linkedin.com/jobs/search/?keywords=JAI+TECHNOLOGIES+LTD+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,https://www.linkedin.com/search/results/people/?keywords=JAI+TECHNOLOGIES+LTD+Technical+Recruiter+OR+Engineering+Recruiter+OR+Talent+Acquisition+OR+Internal+Recruiter,https://www.linkedin.com/search/results/people/?keywords=JAI+TECHNOLOGIES+LTD+Engineering+Manager+OR+Head+of+Engineering+OR+Head+of+AI+OR+CTO,The company name suggests a technology or product-oriented business. It is already licensed for the Skilled Worker route. It has a listed presence in READING.,"Hi, I noticed JAI TECHNOLOGIES LTD is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at JAI TECHNOLOGIES LTD."
Jhaidev Engineering Ltd,82,['Hockley'],['Birmingham'],['Skilled Worker'],"['ai', 'tech']",https://www.linkedin.com/search/results/companies/?keywords=Jhaidev+Engineering+Ltd,https://www.linkedin.com/jobs/search/?keywords=Jhaidev+Engineering+Ltd+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,https://www.linkedin.com/search/results/people/?keywords=Jhaidev+Engineering+Ltd+Technical+Recruiter+OR+Engineering+Recruiter+OR+Talent+Acquisition+OR+Internal+Recruiter,https://www.linkedin.com/search/results/people/?keywords=Jhaidev+Engineering+Ltd+Engineering+Manager+OR+Head+of+Engineering+OR+Head+of+AI+OR+CTO,The company name suggests a technology or product-oriented business. It is already licensed for the Skilled Worker route. It has a listed presence in Hockley.,"Hi, I noticed Jhaidev Engineering Ltd is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at Jhaidev Engineering Ltd."
LTI TECHNOLOGY SOLUTIONS LIMITED,82,['Reading'],['Berkshire Worker'],"['Skilled Worker', 's Mobility: Senior or Specialist Worker']","['services', 'tech', 'technology']",https://www.linkedin.com/search/results/companies/?keywords=LTI+TECHNOLOGY+SOLUTIONS+LIMITED,https://www.linkedin.com/jobs/search/?keywords=LTI+TECHNOLOGY+SOLUTIONS+LIMITED+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,https://www.linkedin.com/search/results/people/?keywords=LTI+TECHNOLOGY+SOLUTIONS+LIMITED+Technical+Recruiter+OR+Engineering+Recruiter+OR+Talent+Acquisition+OR+Internal+Recruiter,https://www.linkedin.com/search/results/people/?keywords=LTI+TECHNOLOGY+SOLUTIONS+LIMITED+Engineering+Manager+OR+Head+of+Engineering+OR+Head+of+AI+OR+CTO,The company name suggests a technology or product-oriented business. It is already licensed for the Skilled Worker route. It has a listed presence in Reading.,"Hi, I noticed LTI TECHNOLOGY SOLUTIONS LIMITED is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at LTI TECHNOLOGY SOLUTIONS LIMITED."
QUALIENT TECHNOLOGY SOLUTIONS UK LIMITED,82,['READING'],['BERKSHIRE Wo'],['Skilled Worker'],"['services', 'tech', 'technology']",https://www.linkedin.com/search/results/companies/?keywords=QUALIENT+TECHNOLOGY+SOLUTIONS+UK+LIMITED,https://www.linkedin.com/jobs/search/?keywords=QUALIENT+TECHNOLOGY+SOLUTIONS+UK+LIMITED+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,https://www.linkedin.com/search/results/people/?keywords=QUALIENT+TECHNOLOGY+SOLUTIONS+UK+LIMITED+Technical+Recruiter+OR+Engineering+Recruiter+OR+Talent+Acquisition+OR+Internal+Recruiter,https://www.linkedin.com/search/results/people/?keywords=QUALIENT+TECHNOLOGY+SOLUTIONS+UK+LIMITED+Engineering+Manager+OR+Head+of+Engineering+OR+Head+of+AI+OR+CTO,The company name suggests a technology or product-oriented business. It is already licensed for the Skilled Worker route. It has a listed presence in READING.,"Hi, I noticed QUALIENT TECHNOLOGY SOLUTIONS UK LIMITED is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at QUALIENT TECHNOLOGY SOLUTIONS UK LIMI"
TAICHI TECH LTD,82,['Reading'],['Work'],['Skilled Worker'],"['ai', 'tech']",https://www.linkedin.com/search/results/companies/?keywords=TAICHI+TECH+LTD,https://www.linkedin.com/jobs/search/?keywords=TAICHI+TECH+LTD+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,https://www.linkedin.com/search/results/people/?keywords=TAICHI+TECH+LTD+Technical+Recruiter+OR+Engineering+Recruiter+OR+Talent+Acquisition+OR+Internal+Recruiter,https://www.linkedin.com/search/results/people/?keywords=TAICHI+TECH+LTD+Engineering+Manager+OR+Head+of+Engineering+OR+Head+of+AI+OR+CTO,The company name suggests a technology or product-oriented business. It is already licensed for the Skilled Worker route. It has a listed presence in Reading.,"Hi, I noticed TAICHI TECH LTD is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at TAICHI TECH LTD."
